°üÍ·,x,y,z
2,56,30,-359
2,44,24,-372
2,32,25,-362
2,32,28,-361
2,17,38,-356
2,14,39,-345
2,12,40,-320
2,15,40,-305
2,25,39,-320
2,47,33,-338
2,56,25,-344
2,51,30,-361
2,31,24,-365
2,25,33,-362
2,19,35,-359
2,12,39,-354
2,9,39,-345
2,14,40,-311
2,23,41,-309
3,30,35,-324
3,44,25,-337
3,54,24,-353
3,46,24,-365
3,35,31,-364
3,28,33,-362
3,14,40,-360
3,8,44,-349
3,14,40,-332
3,20,39,-306
3,30,39,-308
3,38,35,-330
3,48,30,-354
3,51,31,-360
3,44,32,-361
3,31,33,-369
3,24,32,-364
3,19,39,-354
3,17,39,-346
3,15,40,-317
3,23,39,-306
3,31,38,-317
3,41,38,-333
3,49,35,-349
3,51,31,-360
4,41,24,-368
4,31,24,-367
4,24,33,-360
4,15,39,-353
4,12,40,-336
4,14,44,-305
4,22,43,-313
4,36,38,-333
4,48,28,-352
4,54,23,-351
4,39,22,-360
4,30,31,-368
4,24,38,-360
4,16,40,-352
4,12,44,-338
4,16,39,-317
4,27,41,-316
4,28,39,-324
4,39,38,-340
4,51,30,-353
4,47,28,-361
4,39,30,-369
4,28,35,-362
4,15,39,-356
4,15,44,-345
5,28,36,-312
5,41,31,-337
5,51,30,-348
5,48,28,-362
5,38,25,-368
5,31,35,-365
5,24,35,-367
5,16,39,-349
5,7,44,-328
5,17,43,-313
5,24,35,-312
5,39,32,-325
0,49,32,-348
0,52,30,-332
0,43,28,-362
0,35,31,-369
0,24,39,-361
0,15,43,-353
0,15,48,-343
0,15,40,-328
0,25,32,-306
0,51,30,-313
0,39,31,-324
0,47,30,-345
0,52,32,-364
0,43,30,-369
0,33,31,-369
0,28,35,-367
0,16,46,-365
0,8,44,-348
0,15,38,-324
0,28,31,-305
0,30,35,-317
0,40,31,-336
0,51,31,-346
0,51,31,-361
0,39,28,-377
1,30,31,-365
1,20,38,-365
1,15,44,-356
1,12,39,-343
1,16,39,-314
1,24,39,-305
1,31,38,-320
1,41,33,-344
1,51,31,-353
1,41,31,-360
1,28,31,-365
1,23,35,-365
1,23,39,-353
1,11,47,-345
1,8,35,-319
1,22,41,-308
1,24,39,-313
1,31,35,-328
1,44,35,-352
1,51,31,-361
1,39,28,-369
1,31,31,-362
1,23,31,-367
1,15,44,-354
1,11,48,-337
2,14,40,-317
2,19,39,-305
2,28,39,-313
2,40,35,-343
2,52,30,-354
2,48,31,-369
2,33,28,-372
2,30,32,-365
2,19,41,-360
2,11,41,-348
2,6,44,-322
2,14,41,-304
2,24,38,-313
2,39,31,-324
2,47,32,-349
2,48,31,-360
2,33,32,-364
2,28,31,-368
2,19,39,-368
2,17,44,-354
2,14,47,-340
2,15,41,-320
2,22,41,-308
2,28,38,-313
2,31,28,-328
3,40,35,-346
3,44,35,-360
3,40,31,-372
3,31,28,-369
3,28,35,-368
3,19,44,-356
3,9,48,-344
3,11,47,-324
3,20,36,-306
3,23,38,-308
3,33,38,-328
3,48,38,-346
3,48,31,-360
3,43,31,-372
3,31,31,-369
3,25,39,-361
3,14,44,-354
3,7,47,-340
3,8,44,-317
3,16,43,-305
3,24,36,-313
3,38,33,-328
3,48,35,-348
3,48,31,-360
3,38,31,-375
4,40,36,-328
4,51,38,-349
4,54,35,-353
4,39,27,-361
4,24,39,-367
4,15,40,-362
4,12,46,-353
5,12,41,-345
5,15,39,-321
5,19,39,-313
5,25,35,-314
5,38,39,-336
5,49,39,-348
5,48,35,-361
5,35,30,-368
5,24,35,-361
5,19,39,-364
5,8,48,-349
5,7,44,-335
5,14,39,-306
5,23,28,-311
5,31,35,-321
5,44,39,-345
5,48,38,-353
5,43,31,-369
5,28,33,-370
5,22,33,-365
5,15,47,-354
5,3,48,-353
5,9,46,-320
5,15,33,-305
5,25,33,-309
0,38,35,-333
0,48,36,-357
0,48,39,-364
0,32,35,-372
0,23,31,-365
0,17,35,-360
0,12,44,-354
0,-2,44,-341
0,-1,51,-313
0,11,39,-290
0,35,33,-311
0,54,35,-333
0,51,33,-354
0,39,28,-368
0,24,31,-372
0,24,39,-369
0,9,51,-368
0,1,54,-352
0,3,56,-329
0,14,48,-320
0,22,36,-308
0,25,32,-313
0,33,35,-328
0,39,39,-351
2,1,51,-332
2,15,48,-308
2,16,31,-311
2,30,39,-319
2,43,40,-349
2,43,39,-354
2,31,35,-365
2,24,39,-372
2,19,40,-368
2,12,48,-356
2,7,54,-349
2,6,51,-328
2,15,43,-308
2,19,31,-311
3,24,32,-317
3,38,39,-345
3,47,39,-356
3,39,38,-369
3,24,39,-367
3,19,44,-362
3,9,55,-356
3,7,54,-348
3,7,48,-322
3,12,44,-306
3,19,31,-313
3,30,39,-320
3,41,40,-345
3,48,43,-359
3,41,41,-375
3,22,40,-368
3,16,44,-367
3,7,54,-354
3,3,55,-345
3,1,44,-320
3,15,41,-304
3,22,31,-312
3,30,40,-328
3,44,40,-354
3,49,44,-352
4,35,38,-368
4,28,39,-370
4,23,41,-364
4,7,51,-353
4,7,55,-349
4,6,51,-327
4,12,43,-309
4,16,35,-317
4,31,39,-327
4,44,39,-353
4,52,35,-353
4,38,28,-369
4,31,35,-372
4,15,47,-362
4,4,59,-352
4,3,57,-345
4,3,47,-316
4,12,39,-309
4,17,33,-314
4,39,39,-330
4,54,39,-357
4,62,39,-364
4,35,38,-373
4,20,48,-365
4,3,55,-365
5,-1,56,-353
5,8,47,-336
5,14,43,-316
5,24,35,-305
5,28,28,-314
5,33,41,-330
5,47,47,-353
5,38,47,-359
5,25,44,-377
5,24,39,-367
5,16,41,-362
5,6,48,-351
5,3,47,-333
5,11,48,-308
5,14,39,-311
5,17,40,-320
5,44,41,-338
5,51,41,-354
5,41,35,-365
5,28,32,-365
5,23,38,-365
5,7,55,-354
5,7,56,-349
5,7,51,-330
5,7,46,-311
0,11,38,-313
0,22,36,-313
0,43,39,-345
0,56,40,-353
0,44,35,-365
0,28,41,-368
0,12,51,-360
0,-4,56,-360
0,1,51,-352
0,12,51,-324
0,12,44,-312
0,16,32,-313
0,28,41,-313
0,44,44,-353
0,44,44,-365
0,31,39,-362
0,23,39,-370
0,8,44,-365
0,7,51,-356
0,7,48,-345
0,6,48,-317
0,11,41,-305
0,15,41,-311
0,3,54,-353
0,-4,49,-333
0,-8,49,-336
1,7,41,-320
1,12,33,-304
1,17,32,-316
1,24,44,-327
1,35,51,-353
1,35,40,-362
1,28,51,-372
1,19,49,-369
1,7,48,-376
1,-2,41,-352
1,0,51,-333
1,1,51,-322
1,7,41,-314
1,17,32,-314
1,30,30,-313
1,14,55,-348
1,15,48,-329
1,23,46,-313
1,28,51,-311
1,39,47,-325
1,54,46,-345
1,57,44,-354
1,48,48,-367
1,43,60,-362
1,30,60,-354
2,14,55,-357
2,14,54,-353
2,19,51,-333
2,23,51,-305
2,24,46,-308
2,44,46,-333
2,63,48,-349
2,64,48,-353
2,47,44,-367
2,38,51,-361
2,32,63,-359
2,15,59,-359
2,15,56,-349
2,17,48,-325
2,19,51,-314
2,28,48,-313
2,46,43,-330
2,60,48,-343
2,63,44,-356
2,48,44,-372
2,35,56,-360
2,31,63,-365
2,23,63,-360
2,14,52,-349
2,15,47,-324
3,16,48,-298
3,24,44,-313
3,44,44,-336
3,67,41,-345
3,76,44,-354
3,44,46,-369
3,25,57,-365
3,24,64,-356
3,9,63,-360
3,12,51,-353
3,19,40,-327
3,24,44,-288
3,31,39,-313
3,44,47,-330
3,63,44,-349
3,67,43,-360
3,41,47,-367
3,32,51,-369
3,25,60,-368
3,12,63,-356
3,9,57,-356
3,19,47,-313
3,23,40,-301
3,30,40,-320
3,43,41,-328
4,59,41,-338
4,63,43,-356
4,48,44,-367
4,39,49,-368
4,35,51,-360
4,16,56,-360
4,9,55,-354
4,14,48,-335
4,19,40,-317
4,30,39,-308
4,35,40,-320
4,46,40,-336
4,56,39,-345
4,51,40,-353
4,44,39,-372
4,39,48,-367
4,31,49,-361
4,16,52,-356
4,7,48,-345
4,12,44,-322
4,17,41,-296
4,28,39,-313
4,48,40,-324
4,62,38,-349
4,62,38,-360
5,51,39,-372
5,39,44,-369
5,24,51,-361
5,11,54,-356
5,9,48,-345
5,15,40,-325
5,19,39,-301
0,9,52,-385
0,12,49,-358
0,15,44,-321
0,20,43,-305
0,28,39,-317
0,44,39,-324
0,57,38,-340
0,56,44,-369
0,41,40,-343
0,39,47,-367
0,24,49,-368
0,9,51,-361
0,7,55,-349
0,9,51,-333
0,19,39,-308
0,33,39,-304
0,44,35,-324
0,49,44,-333
0,55,47,-354
0,39,44,-367
0,33,44,-370
0,35,54,-365
0,24,56,-360
0,9,56,-359
1,9,51,-328
1,19,39,-321
1,24,32,-311
1,28,31,-321
1,33,39,-320
1,47,51,-335
1,48,55,-340
1,41,49,-356
1,41,48,-369
1,27,59,-365
1,19,51,-367
1,12,46,-337
1,12,48,-336
1,15,39,-324
1,25,40,-308
1,35,38,-320
1,47,43,-330
1,65,51,-349
1,51,51,-365
1,39,48,-370
1,31,57,-359
1,19,55,-368
1,7,47,-356
1,14,48,-340
1,19,46,-336
2,19,39,-305
2,30,35,-300
2,40,40,-322
2,56,49,-336
2,56,57,-360
2,39,52,-372
2,35,47,-372
3,55,57,-343
3,51,60,-368
3,41,57,-369
3,31,56,-365
3,19,56,-365
3,7,54,-361
3,12,47,-346
3,20,39,-322
3,24,39,-301
3,25,31,-311
3,41,35,-320
3,56,54,-336
3,63,67,-367
3,38,65,-369
3,33,51,-367
3,24,51,-368
3,11,48,-360
3,11,48,-349
3,22,44,-335
3,28,39,-319
3,28,41,-308
3,30,36,-317
3,39,44,-322
3,54,56,-341
4,48,57,-365
4,40,51,-370
4,41,57,-367
4,25,56,-364
4,9,60,-360
4,9,49,-349
4,19,39,-321
4,22,39,-296
