包头,x,y,z,,,,,,,状态,休息,采食,活动,爬跨,反刍,其他,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,3,44,-340,-9,-2,20,9,2,20,250,0,8,0,0,391,0,342.848363,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-1,40,-317,-4,-4,23,4,4,23,250,0,8,0,0,391,0,319.5152579,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,3,39,-308,4,-1,9,4,1,9,250,0,8,0,0,391,0,310.4738314,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,35,-316,4,-4,-8,4,4,8,250,0,8,0,0,391,0,318.0094338,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,17,31,-340,10,-4,-24,10,4,24,250,0,8,0,0,391,0,341.8332927,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,35,24,-345,18,-7,-5,18,7,5,250,0,8,0,0,391,0,347.6003452,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,41,31,-360,6,7,-15,6,7,15,250,0,8,0,0,391,0,363.6509315,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,39,44,-377,-2,13,-17,2,13,17,250,0,8,0,0,391,0,381.5573351,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,23,56,-360,-16,12,17,16,12,17,250,0,8,0,0,391,0,365.0547904,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,6,63,-360,-17,7,0,17,7,0,250,0,8,0,0,391,0,365.5201773,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-9,44,-353,-15,-19,7,15,19,7,250,0,8,0,0,391,0,355.8454721,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-5,31,-333,4,-13,20,4,13,20,250,0,8,0,0,391,0,334.477204,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-2,31,-313,3,0,20,3,0,20,250,0,8,0,0,391,0,314.5377561,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,7,31,-314,9,0,-1,9,0,1,250,0,8,0,0,391,0,315.6041825,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,17,31,-320,10,0,-6,10,0,6,250,0,8,0,0,391,0,321.9472006,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,31,33,-343,14,2,-23,14,2,23,250,0,8,0,0,391,0,345.9754327,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,44,40,-346,13,7,-3,13,7,3,250,0,8,0,0,391,0,351.0726421,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,44,49,-365,0,9,-19,0,9,19,250,0,8,0,0,391,0,370.8935157,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,39,56,-368,-5,7,-3,5,7,3,250,0,8,0,0,391,0,374.2739638,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,19,56,-360,-20,0,8,20,0,8,250,0,8,0,0,391,0,364.8246154,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-1,51,-359,-20,-5,1,20,5,1,250,0,8,0,0,391,0,362.6058466,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-13,31,-353,-12,-20,6,12,20,6,250,0,8,0,0,391,0,354.5969543,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-2,22,-329,11,-9,24,11,9,24,250,0,8,0,0,391,0,329.7408073,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,4,32,-312,6,10,17,6,10,17,250,0,8,0,0,391,0,313.6622387,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,8,39,-313,4,7,-1,4,7,1,250,0,8,0,0,391,0,315.5217901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,19,44,-324,11,5,-11,11,5,11,250,0,8,0,0,391,0,327.5255715,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,35,39,-340,16,-5,-16,16,5,16,250,0,8,0,0,391,0,344.0145346,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,44,35,-351,9,-4,-11,9,4,11,250,0,8,0,0,391,0,355.474331,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,44,40,-365,0,5,-14,0,5,14,250,0,8,0,0,391,0,369.8121145,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,31,51,-372,-13,11,-7,13,11,7,250,0,8,0,0,391,0,376.7572163,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,3,44,-362,-28,-7,10,28,7,10,250,0,8,0,0,391,0,364.676569,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-1,31,-353,-4,-13,9,4,13,9,250,0,8,0,0,391,0,354.3599865,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,7,32,-345,8,1,8,8,1,8,250,0,8,0,0,391,0,346.5515835,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,9,41,-337,2,9,8,2,9,8,250,0,8,0,0,391,0,339.6041814,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,11,41,-321,2,0,16,2,0,16,250,0,8,0,0,391,0,323.794688,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,7,44,-313,-4,3,8,4,3,8,250,0,8,0,0,391,0,316.1550253,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
